Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,a1.2xlarge,0.204,0.2031,,,,,0.204,0.204,0.204,0.204,0.204,0.204
us-east-1,a1.4xlarge,0.0,0.4061,,,,,0.408,0.408,0.408,0.408,0.408,0.408
us-east-1,a1.large,0.051,0.0508,,,,,0.051,0.051,0.051,0.051,0.051,0.051
us-east-1,a1.medium,0.0,0.0254,,,,,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255
us-east-1,a1.metal,0.408,0.406,,,,,0.408,0.408,0.408,0.408,0.408,0.408
us-east-1,a1.xlarge,0.0,0.1015,,,,,0.102,0.102,0.102,0.102,0.102,0.102
us-east-1,c1.medium,0.13,0.0344,,,,,0.13,0.13,0.13,0.13,0.13,0.13
us-east-1,c1.xlarge,0.52,0.2148,,,,,0.52,0.52,0.52,0.52,0.52,0.52
us-east-1,c3.2xlarge,0.0,0.2101,,,,,1.38,1.38,1.38,1.38,1.38,1.38
us-east-1,c3.4xlarge,6.84,0.5868,,,,,6.84,6.84,6.84,6.84,6.84,6.84
us-east-1,c3.8xlarge,2.288,0.6941,,,,,6.0,6.0,6.0,6.0,6.0,6.0
us-east-1,c3.large,0.585,0.0315,,,,,0.585,0.585,0.585,0.585,0.585,0.585
us-east-1,c3.xlarge,0.69,0.1029,,,,,0.69,0.69,0.69,0.69,0.69,0.69
us-east-1,c4.2xlarge,0.398,0.1826,,,,,0.398,0.398,0.398,0.398,0.398,0.398
us-east-1,c4.4xlarge,6.8,0.3264,,,,,6.8,6.8,6.8,6.8,6.8,6.8
us-east-1,c4.8xlarge,2.208,0.5574,,,,,2.208,2.208,2.208,2.208,2.208,2.208
us-east-1,c4.large,0.1,0.0437,,,,,0.168,0.168,0.168,0.168,0.168,0.168
us-east-1,c4.xlarge,0.0,0.0783,,,,,0.199,0.199,0.199,0.199,0.199,0.199
us-east-1,c5.12xlarge,7.8,0.6446,,,,,7.8,7.8,7.8,7.8,7.8,7.8
us-east-1,c5.18xlarge,0.0,0.5881,,,,,11.7,11.7,11.7,11.7,11.7,11.7
us-east-1,c5.24xlarge,0.0,1.4026,,,,,5.702,5.702,5.702,5.702,5.702,5.702
us-east-1,c5.2xlarge,0.0,0.1445,,,,,0.475,0.475,0.475,0.475,0.475,0.475
us-east-1,c5.4xlarge,6.68,0.1949,,,,,6.68,6.68,6.68,6.68,6.68,6.68
us-east-1,c5.9xlarge,0.0,0.6426,,,,,1.53,1.53,1.53,1.53,1.53,1.53
us-east-1,c5.large,0.085,0.0331,,,,,0.085,0.085,0.085,0.085,0.085,0.085
us-east-1,c5.metal,5.702,1.0599,,,,,5.702,5.702,5.702,5.702,5.702,5.702
us-east-1,c5.xlarge,0.17,0.079,,,,,0.17,0.17,0.17,0.17,0.17,0.17
us-east-1,c5a.12xlarge,0.0,0.5741,,,,,2.659,2.659,2.659,2.659,2.659,2.659
us-east-1,c5a.16xlarge,10.144,1.0104,,,,,26.464,26.464,26.464,26.464,26.464,26.464
us-east-1,c5a.24xlarge,39.696,1.3475,,,,,39.696,39.696,39.696,39.696,39.696,39.696
us-east-1,c5a.2xlarge,0.443,0.1631,,,,,0.443,0.443,0.443,0.443,0.443,0.443
us-east-1,c5a.4xlarge,0.886,0.2794,,,,,2.536,2.536,2.536,2.536,2.536,2.536
us-east-1,c5a.8xlarge,5.072,0.4632,,,,,5.072,5.072,5.072,5.072,5.072,5.072
us-east-1,c5a.large,0.0,0.0298,,,,,0.077,0.077,0.077,0.077,0.077,0.077
us-east-1,c5a.xlarge,0.222,0.077,,,,,0.222,0.222,0.222,0.222,0.222,0.222
us-east-1,c5ad.12xlarge,2.064,0.8239,,,,,2.064,2.064,2.064,2.064,2.064,2.064
us-east-1,c5ad.16xlarge,3.834,1.3332,,,,,3.834,3.834,3.834,3.834,3.834,3.834
us-east-1,c5ad.24xlarge,15.648,1.6591,,,,,15.648,15.648,15.648,15.648,15.648,15.648
us-east-1,c5ad.2xlarge,0.344,0.2622,,,,,0.479,0.479,0.479,0.479,0.479,0.479
us-east-1,c5ad.4xlarge,0.688,0.3518,,,,,2.608,2.608,2.608,2.608,2.608,2.608
us-east-1,c5ad.8xlarge,1.917,0.7377,,,,,1.917,1.917,1.917,1.917,1.917,1.917
us-east-1,c5ad.large,0.0,0.0302,,,,,0.154,0.154,0.154,0.154,0.154,0.154
us-east-1,c5ad.xlarge,0.172,0.0905,,,,,1.672,1.672,1.672,1.672,1.672,1.672
us-east-1,c5d.12xlarge,2.304,0.7987,,,,,2.304,2.304,2.304,2.304,2.304,2.304
us-east-1,c5d.18xlarge,12.096,0.767,,,,,12.096,12.096,12.096,12.096,12.096,12.096
us-east-1,c5d.24xlarge,16.128,1.2508,,,,,16.128,16.128,16.128,16.128,16.128,16.128
us-east-1,c5d.2xlarge,0.519,0.1771,,,,,0.384,0.384,0.384,0.384,0.384,0.384
us-east-1,c5d.4xlarge,1.038,0.3657,,,,,2.688,2.688,2.688,2.688,2.688,2.688
us-east-1,c5d.9xlarge,0.0,0.6103,,,,,15.228,15.228,15.228,15.228,15.228,15.228
us-east-1,c5d.large,0.164,0.0366,,,,,0.164,0.164,0.164,0.164,0.164,0.164
us-east-1,c5d.metal,16.128,1.0189,,,,,16.128,16.128,16.128,16.128,16.128,16.128
us-east-1,c5d.xlarge,0.0,0.0923,,,,,0.26,0.26,0.26,0.26,0.26,0.26
us-east-1,c5n.18xlarge,30.888,1.5055,,,,,3.888,3.888,3.888,3.888,3.888,3.888
us-east-1,c5n.2xlarge,0.567,0.2273,,,,,1.392,1.392,1.392,1.392,1.392,1.392
us-east-1,c5n.4xlarge,0.864,0.5233,,,,,1.134,1.134,1.134,1.134,1.134,1.134
us-east-1,c5n.9xlarge,6.264,0.8825,,,,,6.264,6.264,6.264,6.264,6.264,6.264
us-east-1,c5n.large,0.108,0.0445,,,,,0.108,0.108,0.108,0.108,0.108,0.108
us-east-1,c5n.metal,5.105,1.1208,,,,,5.105,5.105,5.105,5.105,5.105,5.105
us-east-1,c5n.xlarge,0.216,0.1114,,,,,1.716,1.716,1.716,1.716,1.716,1.716
us-east-1,c6a.12xlarge,2.6472,0.6304,,,,,7.596,7.596,7.596,7.596,7.596,7.596
us-east-1,c6a.16xlarge,26.448,0.8331,,,,,26.448,26.448,26.448,26.448,26.448,26.448
us-east-1,c6a.24xlarge,3.672,1.2304,,,,,39.672,39.672,39.672,39.672,39.672,39.672
us-east-1,c6a.2xlarge,0.0,0.1456,,,,,0.306,0.306,0.306,0.306,0.306,0.306
us-east-1,c6a.32xlarge,4.896,1.2684,,,,,4.896,4.896,4.896,4.896,4.896,4.896
us-east-1,c6a.48xlarge,30.384,1.9897,,,,,30.384,30.384,30.384,30.384,30.384,30.384
us-east-1,c6a.4xlarge,6.612,0.2544,,,,,0.8824,0.8824,0.8824,0.8824,0.8824,0.8824
us-east-1,c6a.8xlarge,13.224,0.4214,,,,,1.7648,1.7648,1.7648,1.7648,1.7648,1.7648
us-east-1,c6a.large,0.5565,0.0331,,,,,0.5565,0.5565,0.5565,0.5565,0.5565,0.5565
us-east-1,c6a.metal,10.5888,1.9898,,,,,10.5888,10.5888,10.5888,10.5888,10.5888,10.5888
us-east-1,c6a.xlarge,0.0,0.0609,,,,,0.2206,0.2206,0.2206,0.2206,0.2206,0.2206
us-east-1,c6g.12xlarge,1.632,0.4052,,,,,1.632,1.632,1.632,1.632,1.632,1.632
us-east-1,c6g.16xlarge,0.0,0.5703,,,,,2.176,2.176,2.176,2.176,2.176,2.176
us-east-1,c6g.2xlarge,0.272,0.0956,,,,,0.272,0.272,0.272,0.272,0.272,0.272
us-east-1,c6g.4xlarge,0.0,0.1551,,,,,0.544,0.544,0.544,0.544,0.544,0.544
us-east-1,c6g.8xlarge,0.0,0.3043,,,,,1.088,1.088,1.088,1.088,1.088,1.088
