priceType,skuName,productName,retailPrice,unitOfMeasure,location,meterName,reservationTerm,currencyCode,armRegionName,serviceName
,Standard_D4ads_v5 Low Priority,Dadsv5 Series Cloud Services,0.156,1 Hour,US East 2,D4ads v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_D16s_v5,Virtual Machines Dsv5 Series Windows,1.504,1 Hour,US East 2,D16s v5,,USD,eastus2,Virtual Machines
,Standard_D16s_v5,Virtual Machines Dsv5 Series Windows,0.768,1 Hour,US East 2,D16s v5,,USD,eastus2,Virtual Machines
,E8-4ads v5 Low Priority,Virtual Machines Eadsv5 Series,0.105,1 Hour,US East 2,E8-4ads v5 Low Priority,,USD,eastus2,Virtual Machines
,M192idms_v2,Virtual Machines MdSv2 Series Windows,40.896,1 Hour,US East 2,M192idms_v2,,USD,eastus2,Virtual Machines
,M192idms_v2,Virtual Machines MdSv2 Series Windows,32.064,1 Hour,US East 2,M192idms_v2,,USD,eastus2,Virtual Machines
,Standard_EC32as_cc_v5 Low Priority,Virtual Machines ECasccv5 Series Windows,1.312,1 Hour,US East 2,EC32ascc v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_EC32as_cc_v5 Low Priority,Virtual Machines ECasccv5 Series Windows,0.362,1 Hour,US East 2,EC32ascc v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,7.346,1 Hour,US East 2,NC48ads_A100_v4,,USD,eastus2,Virtual Machines
,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,42066.0,1 Hour,US East 2,NC48ads_A100_v4,1 Year,USD,eastus2,Virtual Machines
,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,71642.0,1 Hour,US East 2,NC48ads_A100_v4,3 Years,USD,eastus2,Virtual Machines
,E32-8ds v5,Virtual Machines Edsv5 Series,2.304,1 Hour,US East 2,E32-8ds v5,,USD,eastus2,Virtual Machines
,E32-8ds v5,Virtual Machines Edsv5 Series,11908.0,1 Hour,US East 2,E32-8ds v5,1 Year,USD,eastus2,Virtual Machines
,E32-8ds v5,Virtual Machines Edsv5 Series,23009.0,1 Hour,US East 2,E32-8ds v5,3 Years,USD,eastus2,Virtual Machines
,Standard_DC4ads_cc_v5 Low Priority,Virtual Machines DCadsccv5 Series Windows,0.156,1 Hour,US East 2,DC4adscc v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_DC4ads_cc_v5 Low Priority,Virtual Machines DCadsccv5 Series Windows,0.0412,1 Hour,US East 2,DC4adscc v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_DC48ads_cc_v5 Spot,Virtual Machines DCadsccv5 Series,0.4944,1 Hour,US East 2,DC48adscc v5 Spot,,USD,eastus2,Virtual Machines
,E64-32s v6,Virtual Machines Esv6 Series,4.234,1 Hour,US East 2,E64-32s v6,,USD,eastus2,Virtual Machines
,E64-32s v6,Virtual Machines Esv6 Series,22994.0,1 Hour,US East 2,E64-32s v6,1 Year,USD,eastus2,Virtual Machines
,E64-32s v6,Virtual Machines Esv6 Series,43391.0,1 Hour,US East 2,E64-32s v6,3 Years,USD,eastus2,Virtual Machines
,Standard_D48pls_v5 Spot,Virtual Machines Dplsv5 Series,0.22848,1 Hour,US East 2,D48pls v5 Spot,,USD,eastus2,Virtual Machines
,Standard_M176ds_4_v3 Low Priority,Virtual Machines Mdsv3 Medium Memory Series Windows,13.82,1 Hour,US East 2,Standard_M176ds_4_v3 Low Priority,,USD,eastus2,Virtual Machines
,Standard_M176ds_4_v3 Low Priority,Virtual Machines Mdsv3 Medium Memory Series Windows,5.29,1 Hour,US East 2,Standard_M176ds_4_v3 Low Priority,,USD,eastus2,Virtual Machines
